Tag	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
NUPR1	0	1.16144345592856	0.788	0.318	0	Monocytes/macrophages	NUPR1	0.47
CCDC88A	0	1.15189739346338	0.874	0.255	0	Monocytes/macrophages	CCDC88A	0.619
CTSZ	0	1.13640624178767	0.96	0.593	0	Monocytes/macrophages	CTSZ	0.367
SNX10	0	1.13518913443867	0.801	0.2	0	Monocytes/macrophages	SNX10	0.601
VIM	0	1.13227762665948	0.997	0.808	0	Monocytes/macrophages	VIM	0.189
LTA4H	0	1.11239244452901	0.81	0.414	0	Monocytes/macrophages	LTA4H	0.396
FCGR1A	0	1.08628597526757	0.695	0.08	0	Monocytes/macrophages	FCGR1A	0.615
CD163	0	1.0807568365881	0.674	0.08	0	Monocytes/macrophages	CD163	0.594
GSTO1	0	1.07574150618623	0.876	0.359	0	Monocytes/macrophages	GSTO1	0.517
SMIM25	0	1.07421550916782	0.665	0.081	0	Monocytes/macrophages	SMIM25	0.584
CXCL16	0	1.07110826213638	0.817	0.383	0	Monocytes/macrophages	CXCL16	0.434
ALOX5	0	1.0706882760651	0.714	0.131	0	Monocytes/macrophages	ALOX5	0.583
SRGN	0	1.06695254123951	0.964	0.401	0	Monocytes/macrophages	SRGN	0.563
S100A8	0	1.05907919701444	0.526	0.074	0	Monocytes/macrophages	S100A8	0.452
SLC11A1	0	1.03390269605359	0.651	0.1	0	Monocytes/macrophages	SLC11A1	0.551
AIF1	0	1.027462447452	0.958	0.306	0	Monocytes/macrophages	AIF1	0.652
EVI2B	0	1.01604681430807	0.841	0.222	0	Monocytes/macrophages	EVI2B	0.619
LAIR1	0	1.01337217563397	0.736	0.116	0	Monocytes/macrophages	LAIR1	0.62
CYBA	0	1.00870776611584	0.961	0.585	0	Monocytes/macrophages	CYBA	0.376
C1orf162	0	1.00785215011129	0.789	0.181	0	Monocytes/macrophages	C1orf162	0.608
GLUL	0	1.00099320902148	0.892	0.495	0	Monocytes/macrophages	GLUL	0.397
MNDA	0	1.00057957466751	0.894	0.253	0	Monocytes/macrophages	MNDA	0.641
ITGB2	0	0.988190063880747	0.876	0.301	0	Monocytes/macrophages	ITGB2	0.575
SPI1	0	0.984264998207904	0.829	0.208	0	Monocytes/macrophages	SPI1	0.621
LRPAP1	0	0.978073793042701	0.83	0.402	0	Monocytes/macrophages	LRPAP1	0.428
ATP6V1F	0	0.974995649597622	0.884	0.44	0	Monocytes/macrophages	ATP6V1F	0.444
CSTA	0	0.973301151623647	0.668	0.108	0	Monocytes/macrophages	CSTA	0.56
HCST	0	0.964760375946909	0.729	0.222	0	Monocytes/macrophages	HCST	0.507
B2M	0	0.963737594403399	1	0.988	0	Monocytes/macrophages	B2M	0.012
CYP27A1	0	0.961300093885773	0.608	0.102	0	Monocytes/macrophages	CYP27A1	0.506
PLBD1	0	0.958572818836623	0.639	0.111	0	Monocytes/macrophages	PLBD1	0.528
CD14	0	0.956343437068576	0.663	0.158	0	Monocytes/macrophages	CD14	0.505
PLD3	0	0.95312946323286	0.781	0.425	0	Monocytes/macrophages	PLD3	0.356
HCK	0	0.95291581595192	0.748	0.165	0	Monocytes/macrophages	HCK	0.583
SAMHD1	0	0.951417547777657	0.88	0.291	0	Monocytes/macrophages	SAMHD1	0.589
SH3BGRL3	0	0.946602580176102	0.984	0.74	0	Monocytes/macrophages	SH3BGRL3	0.244
SERPINA1	0	0.945880393062509	0.837	0.547	0	Monocytes/macrophages	SERPINA1	0.29
S100A4	0	0.941641624239441	0.972	0.62	0	Monocytes/macrophages	S100A4	0.352
PTPRC	0	0.923683824259119	0.926	0.327	0	Monocytes/macrophages	PTPRC	0.599
HLA-DRA	0	0.917815186724279	0.999	0.943	0	Monocytes/macrophages	HLA-DRA	0.056
OSCAR	0	0.917787129246335	0.615	0.083	0	Monocytes/macrophages	OSCAR	0.532
GRB2	0	0.917431995544908	0.919	0.542	0	Monocytes/macrophages	GRB2	0.377
SLCO2B1	0	0.90979637672486	0.604	0.076	0	Monocytes/macrophages	SLCO2B1	0.528
FCGR2A	0	0.90155679671895	0.803	0.302	0	Monocytes/macrophages	FCGR2A	0.501
PPARG	0	0.900028496232639	0.534	0.051	0	Monocytes/macrophages	PPARG	0.483
CFD	0	0.898558537101247	0.555	0.175	0	Monocytes/macrophages	CFD	0.38
GLRX	0	0.891597934616887	0.755	0.299	0	Monocytes/macrophages	GLRX	0.456
SH3BGRL	0	0.891547372051549	0.903	0.473	0	Monocytes/macrophages	SH3BGRL	0.43
LGALS1	0	0.889247607795637	0.94	0.66	0	Monocytes/macrophages	LGALS1	0.28
C5AR1	0	0.887945381419232	0.652	0.11	0	Monocytes/macrophages	C5AR1	0.542
ARHGAP18	0	0.886339715632925	0.827	0.335	0	Monocytes/macrophages	ARHGAP18	0.492
A2M	0	0.880722829761051	0.703	0.197	0	Monocytes/macrophages	A2M	0.506
FTLP3	0	0.879010634903717	0.612	0.105	0	Monocytes/macrophages	FTLP3	0.507
TUBA1B	0	0.878185583178236	0.936	0.667	0	Monocytes/macrophages	TUBA1B	0.269
HEXB	0	0.877094504470716	0.688	0.232	0	Monocytes/macrophages	HEXB	0.456
HLA-DQA1	0	0.876147053681807	0.973	0.655	0	Monocytes/macrophages	HLA-DQA1	0.318
NOP10	0	0.875169170961689	0.829	0.407	0	Monocytes/macrophages	NOP10	0.422
TREM1	0	0.874245680652589	0.567	0.107	0	Monocytes/macrophages	TREM1	0.46
PLXDC2	0	0.871417887786015	0.733	0.161	0	Monocytes/macrophages	PLXDC2	0.572
AC026369.3	0	0.869198290984124	0.429	0.038	0	Monocytes/macrophages	AC026369.3	0.391
CD53	0	0.865634014670149	0.801	0.203	0	Monocytes/macrophages	CD53	0.598
PILRA	0	0.865267474737935	0.573	0.062	0	Monocytes/macrophages	PILRA	0.511
COLEC12	0	0.864501784088882	0.632	0.188	0	Monocytes/macrophages	COLEC12	0.444
HLA-DMB	0	0.863836870837766	0.911	0.474	0	Monocytes/macrophages	HLA-DMB	0.437
PTAFR	0	0.862410411768705	0.694	0.134	0	Monocytes/macrophages	PTAFR	0.56
TMEM176B	0	0.858000875104682	0.629	0.183	0	Monocytes/macrophages	TMEM176B	0.446
S100A11	0	0.856729563656663	0.995	0.905	0	Monocytes/macrophages	S100A11	0.09
HLA-DRB5	0	0.855167779307616	0.856	0.542	0	Monocytes/macrophages	HLA-DRB5	0.314
CTSA	0	0.852305772488635	0.813	0.385	0	Monocytes/macrophages	CTSA	0.428
PLA2G7	0	0.839309383789204	0.389	0.048	0	Monocytes/macrophages	PLA2G7	0.341
AKR1B1	0	0.837370464217806	0.611	0.144	0	Monocytes/macrophages	AKR1B1	0.467
TGFBI	0	0.836141639428425	0.678	0.202	0	Monocytes/macrophages	TGFBI	0.476
CD84	0	0.831467607892304	0.622	0.142	0	Monocytes/macrophages	CD84	0.48
PCOLCE2	0	0.830632330749272	0.387	0.024	0	Monocytes/macrophages	PCOLCE2	0.363
ARPC2	0	0.828751559450936	0.984	0.778	0	Monocytes/macrophages	ARPC2	0.206
GMFG	0	0.82824321755767	0.729	0.17	0	Monocytes/macrophages	GMFG	0.559
GPX1	0	0.824204721368526	0.985	0.771	0	Monocytes/macrophages	GPX1	0.214
LRP1	0	0.821986777628881	0.596	0.116	0	Monocytes/macrophages	LRP1	0.48
MGST3	0	0.820859374205722	0.769	0.331	0	Monocytes/macrophages	MGST3	0.438
ALAS1	0	0.814497034187567	0.584	0.24	0	Monocytes/macrophages	ALAS1	0.344
PECAM1	0	0.810725261086601	0.645	0.13	0	Monocytes/macrophages	PECAM1	0.515
HLA-DRB1	0	0.810371456293213	0.999	0.936	0	Monocytes/macrophages	HLA-DRB1	0.0629999999999999
SPN	0	0.803385495484849	0.57	0.115	0	Monocytes/macrophages	SPN	0.455
PLIN2	0	0.801341453974225	0.786	0.291	0	Monocytes/macrophages	PLIN2	0.495
SNX2	0	0.800180465250917	0.727	0.275	0	Monocytes/macrophages	SNX2	0.452
PLAUR	0	0.799396177602775	0.65	0.141	0	Monocytes/macrophages	PLAUR	0.509
NCKAP1L	0	0.798281540653409	0.685	0.144	0	Monocytes/macrophages	NCKAP1L	0.541
LCP1	0	0.797420060205293	0.815	0.244	0	Monocytes/macrophages	LCP1	0.571
SLC7A7	0	0.796498804898499	0.578	0.072	0	Monocytes/macrophages	SLC7A7	0.506
TFRC	0	0.795694706570163	0.462	0.109	0	Monocytes/macrophages	TFRC	0.353
LY86	0	0.794258647371341	0.657	0.146	0	Monocytes/macrophages	LY86	0.511
ANXA5	0	0.789899747252349	0.929	0.624	0	Monocytes/macrophages	ANXA5	0.305
TIMP2	0	0.789828998519307	0.608	0.148	0	Monocytes/macrophages	TIMP2	0.46
EMP3	0	0.784241220409896	0.737	0.264	0	Monocytes/macrophages	EMP3	0.473
FKBP15	0	0.783089392336429	0.632	0.18	0	Monocytes/macrophages	FKBP15	0.452
MAFB	0	0.778610855504468	0.675	0.291	0	Monocytes/macrophages	MAFB	0.384
GRINA	0	0.776459708133628	0.749	0.324	0	Monocytes/macrophages	GRINA	0.425
CD37	0	0.774736440572306	0.708	0.19	0	Monocytes/macrophages	CD37	0.518
GM2A	0	0.774671544503725	0.587	0.141	0	Monocytes/macrophages	GM2A	0.446
ASAH1	0	0.769152415263956	0.9	0.559	0	Monocytes/macrophages	ASAH1	0.341
AP2S1	0	0.767682788480774	0.8	0.367	0	Monocytes/macrophages	AP2S1	0.433
BHLHE41	0	0.757789093592933	0.614	0.226	0	Monocytes/macrophages	BHLHE41	0.388
FOLR2	0	0.755291684535481	0.307	0.044	0	Monocytes/macrophages	FOLR2	0.263
CLEC12A	0	0.751938788878811	0.501	0.062	0	Monocytes/macrophages	CLEC12A	0.439
SLA	0	0.751569327325497	0.583	0.108	0	Monocytes/macrophages	SLA	0.475
ATP6V0B	0	0.748432250049046	0.865	0.51	0	Monocytes/macrophages	ATP6V0B	0.355
HLA-DPA1	0	0.748315385467539	0.992	0.822	0	Monocytes/macrophages	HLA-DPA1	0.17
LGALS3	0	0.746953232519588	0.976	0.825	0	Monocytes/macrophages	LGALS3	0.151
RBP4	0	0.744070783485455	0.365	0.034	0	Monocytes/macrophages	RBP4	0.331
HLA-C	0	0.743989290246557	0.979	0.815	0	Monocytes/macrophages	HLA-C	0.164
MFSD1	0	0.743268019879152	0.717	0.263	0	Monocytes/macrophages	MFSD1	0.454
TYMP	0	0.735554919876151	0.788	0.358	0	Monocytes/macrophages	TYMP	0.43
HMOX1	0	0.734599998952031	0.491	0.078	0	Monocytes/macrophages	HMOX1	0.413
LACTB	0	0.733403822485822	0.696	0.239	0	Monocytes/macrophages	LACTB	0.457
SERPING1	0	0.733038835034617	0.555	0.261	0	Monocytes/macrophages	SERPING1	0.294
GNAI2	0	0.731063758201885	0.92	0.511	0	Monocytes/macrophages	GNAI2	0.409
PPT1	0	0.728573240975371	0.843	0.413	0	Monocytes/macrophages	PPT1	0.43
PMP22	0	0.727518966720529	0.509	0.104	0	Monocytes/macrophages	PMP22	0.405
SCIMP	0	0.725313447395296	0.518	0.083	0	Monocytes/macrophages	SCIMP	0.435
ANXA2	0	0.719442609371853	0.974	0.783	0	Monocytes/macrophages	ANXA2	0.191
HLA-DQB1	0	0.712496939295673	0.983	0.754	0	Monocytes/macrophages	HLA-DQB1	0.229
FCGRT	0	0.71038197258777	0.794	0.414	0	Monocytes/macrophages	FCGRT	0.38
TGM2	0	0.707744432464886	0.389	0.06	0	Monocytes/macrophages	TGM2	0.329
JAML	0	0.705071334295318	0.553	0.126	0	Monocytes/macrophages	JAML	0.427
BCL2A1	0	0.700850683645837	0.692	0.171	0	Monocytes/macrophages	BCL2A1	0.521
OAZ1	0	0.700524935447535	0.954	0.738	0	Monocytes/macrophages	OAZ1	0.216
CREG1	0	0.699769047354833	0.658	0.252	0	Monocytes/macrophages	CREG1	0.406
TPP1	0	0.689459841159506	0.707	0.301	0	Monocytes/macrophages	TPP1	0.406
MAF	0	0.687595283496939	0.459	0.096	0	Monocytes/macrophages	MAF	0.363
SLC15A3	0	0.687220909557866	0.482	0.089	0	Monocytes/macrophages	SLC15A3	0.393
MDH1	0	0.680859225089982	0.675	0.277	0	Monocytes/macrophages	MDH1	0.398
PYCARD	0	0.680265310789001	0.695	0.262	0	Monocytes/macrophages	PYCARD	0.433
GYPC	0	0.678349997730313	0.486	0.072	0	Monocytes/macrophages	GYPC	0.414
IL1RN	0	0.677833525656531	0.364	0.092	0	Monocytes/macrophages	IL1RN	0.272
BRI3	0	0.675934307866193	0.783	0.473	0	Monocytes/macrophages	BRI3	0.31
ATP6AP1	0	0.669599016599441	0.715	0.327	0	Monocytes/macrophages	ATP6AP1	0.388
PGD	0	0.668611383398677	0.636	0.258	0	Monocytes/macrophages	PGD	0.378
NCEH1	0	0.662623212498626	0.556	0.171	0	Monocytes/macrophages	NCEH1	0.385
FFAR4	0	0.662530406660344	0.459	0.065	0	Monocytes/macrophages	FFAR4	0.394
COLGALT1	0	0.66131213305487	0.553	0.127	0	Monocytes/macrophages	COLGALT1	0.426
GUSB	0	0.660406305715455	0.827	0.525	0	Monocytes/macrophages	GUSB	0.302
GPCPD1	0	0.658365003646371	0.617	0.236	0	Monocytes/macrophages	GPCPD1	0.381
ZEB2	0	0.657853100990128	0.585	0.118	0	Monocytes/macrophages	ZEB2	0.467
CEBPB	0	0.657395953822263	0.666	0.315	0	Monocytes/macrophages	CEBPB	0.351
DECR1	0	0.65366913045727	0.693	0.324	0	Monocytes/macrophages	DECR1	0.369
SIRPA	0	0.648551996734038	0.499	0.067	0	Monocytes/macrophages	SIRPA	0.432
TNFSF13B	0	0.647882504455682	0.529	0.117	0	Monocytes/macrophages	TNFSF13B	0.412
GLIPR2	0	0.646798194301408	0.485	0.078	0	Monocytes/macrophages	GLIPR2	0.407
HEXA	0	0.645416043907345	0.638	0.238	0	Monocytes/macrophages	HEXA	0.4
TCF7L2	0	0.643622549294684	0.573	0.308	0	Monocytes/macrophages	TCF7L2	0.265
STXBP2	0	0.638172754971313	0.444	0.132	0	Monocytes/macrophages	STXBP2	0.312
FYB1	0	0.636934094066244	0.678	0.204	0	Monocytes/macrophages	FYB1	0.474
CHCHD10	0	0.635496925492557	0.697	0.325	0	Monocytes/macrophages	CHCHD10	0.372
TFEC	0	0.634766587634291	0.485	0.076	0	Monocytes/macrophages	TFEC	0.409
GAA	0	0.63454411450416	0.531	0.148	0	Monocytes/macrophages	GAA	0.383
CFL1	0	0.627772006868437	0.953	0.759	0	Monocytes/macrophages	CFL1	0.194
LAMP1	0	0.626969360071811	0.618	0.273	0	Monocytes/macrophages	LAMP1	0.345
LITAF	0	0.623358380917035	0.909	0.656	0	Monocytes/macrophages	LITAF	0.253
PFN1	0	0.622638899983431	0.972	0.781	0	Monocytes/macrophages	PFN1	0.191
CST3	0	0.621609638594333	0.998	0.892	0	Monocytes/macrophages	CST3	0.106
UPP1	0	0.61564451907458	0.678	0.256	0	Monocytes/macrophages	UPP1	0.422
DNASE2	0	0.614155842178843	0.635	0.281	0	Monocytes/macrophages	DNASE2	0.354
RNASET2	0	0.613179277626434	0.736	0.32	0	Monocytes/macrophages	RNASET2	0.416
ATP6V0D1	0	0.613131987081898	0.609	0.227	0	Monocytes/macrophages	ATP6V0D1	0.382
CARD16	0	0.61282347495936	0.554	0.178	0	Monocytes/macrophages	CARD16	0.376
ZYX	0	0.612326858889274	0.602	0.167	0	Monocytes/macrophages	ZYX	0.435
ATP1B3	0	0.607773817601542	0.589	0.18	0	Monocytes/macrophages	ATP1B3	0.409
RNF13	0	0.607721174833288	0.732	0.359	0	Monocytes/macrophages	RNF13	0.373
YBX1	0	0.605542339568286	0.966	0.809	0	Monocytes/macrophages	YBX1	0.157
RGCC	0	0.603813014150645	0.528	0.138	0	Monocytes/macrophages	RGCC	0.39
SEPT11	0	0.603071026272806	0.597	0.234	0	Monocytes/macrophages	SEPT11	0.363
SYK	0	0.60200671077463	0.632	0.201	0	Monocytes/macrophages	SYK	0.431
TGOLN2	0	0.597340255356915	0.705	0.358	0	Monocytes/macrophages	TGOLN2	0.347
TNFAIP2	0	0.590126069956859	0.534	0.169	0	Monocytes/macrophages	TNFAIP2	0.365
LINC02345	0	0.588544480409802	0.348	0.037	0	Monocytes/macrophages	LINC02345	0.311
LGALS9	0	0.588507328992423	0.659	0.28	0	Monocytes/macrophages	LGALS9	0.379
VAT1	0	0.587252968568617	0.474	0.117	0	Monocytes/macrophages	VAT1	0.357
VMO1	0	0.586832872639403	0.323	0.04	0	Monocytes/macrophages	VMO1	0.283
SLC31A2	0	0.586097860236982	0.466	0.079	0	Monocytes/macrophages	SLC31A2	0.387
C9orf16	0	0.58606938074641	0.569	0.229	0	Monocytes/macrophages	C9orf16	0.34
CPVL	0	0.584006972754257	0.66	0.147	0	Monocytes/macrophages	CPVL	0.513
SLC31A1	0	0.583939680457831	0.586	0.232	0	Monocytes/macrophages	SLC31A1	0.354
ARPC3	0	0.582250393924389	0.901	0.588	0	Monocytes/macrophages	ARPC3	0.313
PNPLA6	0	0.581121333016205	0.408	0.07	0	Monocytes/macrophages	PNPLA6	0.338
TMSB10	0	0.580250552247182	0.999	0.947	0	Monocytes/macrophages	TMSB10	0.052
LILRB4	0	0.579673315758599	0.408	0.078	0	Monocytes/macrophages	LILRB4	0.33
COTL1	0	0.579316631134409	0.717	0.227	0	Monocytes/macrophages	COTL1	0.49
PSMA7	0	0.579080354172265	0.98	0.873	0	Monocytes/macrophages	PSMA7	0.107
SCD	0	0.576296592651352	0.467	0.189	0	Monocytes/macrophages	SCD	0.278
ADA2	0	0.574807277656775	0.458	0.084	0	Monocytes/macrophages	ADA2	0.374
ADAMTSL4	0	0.57480347727475	0.393	0.043	0	Monocytes/macrophages	ADAMTSL4	0.35
M6PR	0	0.57448831020496	0.684	0.31	0	Monocytes/macrophages	M6PR	0.374
SDCBP	0	0.574336831250356	0.783	0.442	0	Monocytes/macrophages	SDCBP	0.341
HLA-DMA	0	0.573743486094507	0.926	0.661	0	Monocytes/macrophages	HLA-DMA	0.265
EML4	0	0.573082573041888	0.77	0.493	0	Monocytes/macrophages	EML4	0.277
LAMP2	0	0.572651467157625	0.707	0.365	0	Monocytes/macrophages	LAMP2	0.342
EMILIN2	0	0.569289127630303	0.44	0.074	0	Monocytes/macrophages	EMILIN2	0.366
LST1	0	0.568502138592444	0.751	0.217	0	Monocytes/macrophages	LST1	0.534
DOK2	0	0.568337903650353	0.431	0.062	0	Monocytes/macrophages	DOK2	0.369
KCNMA1	0	0.567460109439848	0.36	0.032	0	Monocytes/macrophages	KCNMA1	0.328
CLIC1	0	0.566777699209161	0.858	0.541	0	Monocytes/macrophages	CLIC1	0.317
ACTB	0	0.56628733295463	0.998	0.953	0	Monocytes/macrophages	ACTB	0.045
CORO1C	0	0.565776895887796	0.489	0.113	0	Monocytes/macrophages	CORO1C	0.376
KCTD12	0	0.562521580623082	0.685	0.229	0	Monocytes/macrophages	KCTD12	0.456
RAC2	0	0.559645321411308	0.556	0.176	0	Monocytes/macrophages	RAC2	0.38
HLA-A	0	0.559167929986829	0.951	0.781	0	Monocytes/macrophages	HLA-A	0.17
ATP6AP2	0	0.558915362918272	0.762	0.419	0	Monocytes/macrophages	ATP6AP2	0.343
RASSF4	0	0.557753710844624	0.611	0.251	0	Monocytes/macrophages	RASSF4	0.36
PLEK	0	0.557692870420177	0.671	0.173	0	Monocytes/macrophages	PLEK	0.498
C3AR1	0	0.556775139562016	0.439	0.082	0	Monocytes/macrophages	C3AR1	0.357
CLEC7A	0	0.555863861754684	0.535	0.13	0	Monocytes/macrophages	CLEC7A	0.405
TXNIP	0	0.555310367616185	0.984	0.896	0	Monocytes/macrophages	TXNIP	0.088
RMDN3	0	0.554956786751819	0.432	0.125	0	Monocytes/macrophages	RMDN3	0.307
FCGR1B	0	0.554578896501558	0.368	0.036	0	Monocytes/macrophages	FCGR1B	0.332
HLA-B	0	0.554522067322384	0.994	0.918	0	Monocytes/macrophages	HLA-B	0.076
TMEM176A	0	0.554046689673803	0.454	0.145	0	Monocytes/macrophages	TMEM176A	0.309
RNF149	0	0.553860122123633	0.516	0.183	0	Monocytes/macrophages	RNF149	0.333
PIK3AP1	0	0.551573651900772	0.405	0.053	0	Monocytes/macrophages	PIK3AP1	0.352
FXYD5	0	0.548353682780265	0.773	0.413	0	Monocytes/macrophages	FXYD5	0.36
H2AFY	0	0.544796234865002	0.859	0.558	0	Monocytes/macrophages	H2AFY	0.301
BACE1	0	0.544270518100811	0.416	0.101	0	Monocytes/macrophages	BACE1	0.315
POMP	0	0.541137551662997	0.777	0.438	0	Monocytes/macrophages	POMP	0.339
ITGAX	0	0.539939579800544	0.404	0.067	0	Monocytes/macrophages	ITGAX	0.337
CCR1	0	0.538600296415774	0.347	0.053	0	Monocytes/macrophages	CCR1	0.294
HBEGF	0	0.536953712873065	0.439	0.159	0	Monocytes/macrophages	HBEGF	0.28
ACTN1	0	0.535247112247134	0.586	0.24	0	Monocytes/macrophages	ACTN1	0.346
ATP5MC3	0	0.532989369199968	0.824	0.54	0	Monocytes/macrophages	ATP5MC3	0.284
CD300LF	0	0.532648455561746	0.379	0.042	0	Monocytes/macrophages	CD300LF	0.337
LIMS1	0	0.531711982879356	0.763	0.424	0	Monocytes/macrophages	LIMS1	0.339
ARPC1B	0	0.530199063120596	0.711	0.341	0	Monocytes/macrophages	ARPC1B	0.37
SELPLG	0	0.526905487029409	0.406	0.068	0	Monocytes/macrophages	SELPLG	0.338
MYL6	0	0.523983363378176	0.967	0.876	0	Monocytes/macrophages	MYL6	0.091
TRPV2	0	0.52197885236751	0.375	0.04	0	Monocytes/macrophages	TRPV2	0.335
ARRB2	0	0.521587836734389	0.485	0.126	0	Monocytes/macrophages	ARRB2	0.359
OSBPL11	0	0.518573597704773	0.544	0.188	0	Monocytes/macrophages	OSBPL11	0.356
LILRB3	0	0.516071503455979	0.394	0.055	0	Monocytes/macrophages	LILRB3	0.339
HVCN1	0	0.515769630194055	0.42	0.075	0	Monocytes/macrophages	HVCN1	0.345
CD74	0	0.515597404884766	1	0.981	0	Monocytes/macrophages	CD74	0.019
GCA	0	0.515430736593967	0.479	0.154	0	Monocytes/macrophages	GCA	0.325
SERF2	0	0.515223122077885	0.983	0.892	0	Monocytes/macrophages	SERF2	0.091
ARHGDIB	0	0.515062355065125	0.867	0.518	0	Monocytes/macrophages	ARHGDIB	0.349
GIMAP4	0	0.514950125834254	0.449	0.084	0	Monocytes/macrophages	GIMAP4	0.365
GGTA1P	0	0.514591081585292	0.42	0.078	0	Monocytes/macrophages	GGTA1P	0.342
DBI	0	0.513609777718587	0.9	0.699	0	Monocytes/macrophages	DBI	0.201
VASP	0	0.512835690251219	0.559	0.182	0	Monocytes/macrophages	VASP	0.377
ARPC5	0	0.511428113275707	0.868	0.586	0	Monocytes/macrophages	ARPC5	0.282
